,mean,median,std
SE-Nor,604.5333739130435,607.4757099999999,40.915210323289976
SE-Ros,499.30439021739136,504.82498499999997,31.61456674775
SE-Svb,489.3048230434783,496.18093999999996,31.64827093268438
BE-Bra.1,719.8857810869566,718.84125,51.23931668710023
BE-Dor,695.8525317391305,688.4944,53.657333083402214
BE-Lcr,725.9851082608694,722.524,49.11035669175604
BE-Lon.1,716.9127789130434,709.483275,53.86786985176303
BE-Maa,724.5902002173913,716.326485,54.28448635567954
BE-Vie.1,621.5642523913042,617.918175,52.31793469509732
CH-Aws.1,586.9222682608696,584.166515,25.12533196574567
CH-Cha.1,694.8667969565219,687.61712,38.29420873083888
CH-Dav.1,592.6177836956522,588.8213499999999,25.3053073253577
CH-Fru.1,675.3853586956521,669.450425,36.2924137188192
