system:index,Site,rhoX,sigmaX,.geo
000000000000000000b2_0,FI-Sii,0.9398108808845161,0.3743468927634589,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_0,FI-Var,0.8829011236036386,0.4027568005729986,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_0,IT-Lsn,0.989120168659535,0.21041452892920287,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,FR-EM2,0.9675505414844235,0.24421165411384382,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0,IT-Ren,0.9557626201817168,0.3895554482805792,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,IL-Yat,0.7663403196103414,0.3710212685505707,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0,IT-Lav,0.970926950909698,0.33860613923619826,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0,IT-MBo,0.9708985106148601,0.3124128939189258,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0,ES-LJu,0.8222638808673522,0.4244245705503257,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0,FR-Gri,0.9703660379184617,0.24708618903070412,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0,GF-Guy,0.7736896272310293,0.31785819773300844,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0,FR-Aur,0.9649040478747551,0.44059947831168,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0,FR-Fon,0.9806379035479079,0.32922369507427773,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0,FR-Lam,0.9878334439896649,0.25656014660649595,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,ES-Agu,0.9300254481506425,0.1446462722887264,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,FR-FBn,0.9444406956385605,0.28763271383939326,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,BE-Dor,0.9689849037837979,0.26799895204981056,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8_0,CZ-KrP,0.9754337568047725,0.2835685020359727,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0,ES-Cnd,0.8634413412926899,0.45817427757485024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,BE-Maa,0.9700410347438422,0.2575594533913641,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0,FR-LGt,0.9560675831399732,0.41229226668963187,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0,FI-Ken,0.8809744996256016,0.4775477000283602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,FI-Qvd,0.9681091288689693,0.29505027950409474,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,FR-Tou,0.7736857982279592,0.30231538654083373,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6_0,BE-Lcr,0.9533832829049191,0.2993855424836554,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,IT-BFt,0.9909242010201659,0.23125547508046193,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,DK-Gds,0.9644913651541168,0.3046915344108281,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,GL-Dsk,0.4806442996376876,0.3124442917658531,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0,IE-Cra,0.9685180475567181,0.2318328458242457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,AU-Stp,0.6273858160072262,0.6077573135891291,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,AU-Wom,0.9522586236895447,0.4610161838031567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,AU-ASM,0.7597745543835533,0.4671951015905877,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,AU-Whr,0.9158575999934918,0.4083118973191754,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,AU-Cpr,0.374019561644195,0.20774397247546733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_0,AU-War,0.9610841366516099,0.2776832543548655,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,AU-GWW,0.2828272384202775,0.303043092288001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,AU-Cum,0.8741476935711516,0.3952692967260197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,AU-Lit,0.3432970530960273,0.9916653008495707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,AU-Rgf,0.8995018390834045,0.2790158192862119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,AU-Boy,0.7614498703260613,0.46666605912364284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,AU-Lon,0.3432970530960273,0.9916653008495707,"{""type"":""MultiPoint"",""coordinates"":[]}"
