,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
137,AU-GWW,180,0.7562640682868522,0.4657028873273259,0.6644444444444444,0.3126852027238943,0.0056851850083803595,0.0056851850083803595,-2.0803271293883205,-0.09181962384240776,0.5472629067759865,0.5395051860828965,-12.141212004214966,72.36399687951442
138,AU-Lit,180,3.3647611785132963,1.0124444764894478,2.625555555555555,1.0576733304718,0.14993937530617132,0.14993937530617132,-0.6661674299948366,-0.7392056229577406,1.3614482465290896,1.1432919027810835,-21.96903684214388,40.461957752693735
139,AU-Lon,132,0.9858132690329162,0.9458747528441527,2.7606060606060603,1.1021670240805705,0.0001024286642264327,0.0001024286642264327,-3.366652234897874,1.7747927915731445,2.2944066787919732,1.4541019753322724,180.03336405830873,232.74252344389606
140,AU-Rgf,180,0.9686327966203093,0.6592335838096335,0.8344444444444445,0.579859569034922,0.2684771927659229,0.2684771927659229,-0.16821053787426,-0.13418835217586475,0.6249908383203342,0.610415460260207,-13.853376908573201,64.52298956849403
141,AU-Stp,180,1.1139360382166084,1.1655292181496495,0.7358333333333332,0.8307132460763488,0.24515108060626467,0.24515108060626467,-0.787488702862311,-0.37810270488327513,1.10754926014641,1.0410109068644822,-33.94294572681307,99.42664768432995
142,AU-War,144,2.4976189618572167,1.1532781729256654,1.5815972222222223,1.035438431644536,0.4028217007487413,0.4028217007487413,-0.6148530970708939,-0.9160217396349949,1.3112260339452138,0.9381992776653436,-36.675800177055265,52.49904224662808
143,AU-Whr,99,1.3930297516055545,0.5225358239879732,1.5025252525252528,1.012759761019106,0.5186467749200128,0.5186467749200128,0.46513305431746366,0.10949550091969794,0.7369274908077883,0.7287474610498533,7.860241376287727,52.901059001678384
144,AU-Wom,122,2.7788848232099514,1.1476745651685507,2.0504098360655743,1.5147551953106595,0.7799800748604138,0.7799800748604138,0.5310346784013555,-0.7284749871443779,1.0330600931483418,0.7324870982895597,-26.214652045308604,37.17534762578001
145,BE-Lon,216,1.408358006627668,1.3141440356497507,1.112037037037037,1.121655138527288,,,0.7072621329151594,-0.30944496314940706,0.7574927649824336,0.691528266225702,-21.972038479788043,53.785526223993294
146,DE-Hte,36,,,1.5125,1.7463380052473885,,,1.0,,,,,
147,FR-EM2,36,,,1.025,1.0087828592630117,,,1.0,,,,,
148,NL-Loo,36,2.2109293071600136,0.8734010877475927,1.3263888888888888,1.275062245601653,,,-0.11393294970752521,-0.8123998953953072,1.3653860940093272,1.0997680895154835,-36.74472506942578,61.75620765383925
149,SE-Lnn,36,,,0.9847222222222223,1.368148876842849,,,1.0,,,,,
150,BE-Bra,108,,,1.3645833333333333,1.2535516132957036,,,1.0,,,,,
151,BE-Dor,36,,,1.2812500000000002,1.158375941319817,,,1.0,,,,,
152,BE-Lcr,72,,,1.240277777777778,1.154618371465035,,,1.0,,,,,
153,BE-Maa,108,,,1.117361111111111,1.0197091527639286,,,1.0,,,,,
154,BE-Vie,108,1.3753535649368565,1.2361765106114437,1.3027777777777776,1.3172797184720562,,,0.8964941352719334,-0.023430488013779373,0.42986858064606454,0.43203387516047764,-1.703597432043235,31.255132614994174
155,CH-Aws,36,,,1.029166666666667,1.113191999868589,,,1.0,,,,,
156,CH-Cha,108,2.175840413302659,1.3931732223348159,1.5509259259259258,1.3743644492351963,0.908603740950259,0.908603740950259,0.696267786722988,-0.6249144873767333,0.7539236226056412,0.4217614399035169,-28.72060301647719,34.64976649924787
157,CH-Dav,108,,,0.9203703703703704,0.9950117887113845,,,1.0,,,,,
158,CH-Fru,108,,,1.3282407407407406,1.3832868068843778,,,1.0,,,,,
159,CH-Lae,108,,,1.526388888888889,1.5706338135682643,,,1.0,,,,,
160,CH-Oe2,108,,,1.4875,1.3278315714890165,,,1.0,,,,,
161,CZ-BK1,108,1.2405868783202507,1.0853728680937664,1.4020833333333333,1.390072970080899,0.9150782785106216,0.9150782785106216,0.8705510287946074,0.16149645501308268,0.49781377671652033,0.47089006286709095,13.01774650653634,40.127280516666275
162,CZ-KrP,108,1.4949099022830097,1.2103973515190611,1.4574074074074077,1.4212105675542226,0.8547703743619466,0.8547703743619466,0.8487573028641447,-0.03750249487560228,0.5501430691494319,0.5488633340015181,-2.5086792734685144,36.801085357001085
163,CZ-Lnz,108,,,2.128703703703704,2.1141733952145176,,,1.0,,,,,
164,CZ-RAJ,108,1.2436666038665842,0.8957218849484206,1.3800925925925926,1.3592180925525486,0.758014229748309,0.758014229748309,0.7030533259738919,0.1364259887260084,0.7372391513747122,0.7245063946714595,10.969659256094621,59.27948447619491
165,CZ-Stn,108,,,1.5694444444444444,1.6241436756419443,,,1.0,,,,,
166,CZ-wet,108,1.7353028727342985,1.5195446477228232,1.3689814814814818,1.4296218307976107,0.967317261654896,0.967317261654896,0.8947457817752936,-0.36632139125281654,0.46165860763830957,0.280957840818055,-21.10993976951169,26.60392113054472
167,DE-Akm,65,,,1.2769230769230768,1.2749717191433638,,,1.0,,,,,
168,DE-Geb,108,0.9487391566657958,0.9648057306624129,1.0671296296296295,1.2253964080536919,0.8588968337423253,0.8588968337423253,0.8300359593543437,0.11839047296383377,0.5028461596795724,0.488710503484316,12.478716845618523,53.00151850449087
169,DE-Gri,108,1.637441261467201,1.2675806457556482,1.3875,1.3318461819356047,0.8427983271298032,0.8427983271298032,0.806114803142747,-0.249941261467201,0.5837224640881438,0.5275047686014968,-15.264136024228767,35.648452120054024
170,DE-Hai,108,1.0157105672775988,1.0223370812824168,1.5175925925925926,1.6074202181450963,0.7777015503352224,0.7777015503352224,0.6188554569170557,0.5018820253149938,0.987766494997913,0.8507626468681981,49.41191334261534,97.24881544212107
171,DE-HoH,108,1.5251575898215464,1.2573550048573068,1.651388888888889,1.6645346566091557,0.9293424466267318,0.9293424466267318,0.8800049781980807,0.12623129906734287,0.5739241073843576,0.5598701100904591,8.27660694932599,37.63047905439795
172,DE-Hzd,108,2.254788611539231,1.3870076518124597,1.6129629629629632,1.6089174739146115,,,0.8429867403398841,-0.10668734571644627,0.7419596309769321,0.9085675029688739,-4.7315897007132826,32.905950792009435
173,DE-Kli,108,1.4670913732571922,1.3728152513266934,1.2324074074074076,1.3862359918106821,0.7605022835587577,0.7605022835587577,0.7175901058566581,-0.2346839658497849,0.7332585499645219,0.694688086315787,-15.996547326752157,49.98042816764462
174,DE-Obe,108,1.0200490217255067,0.964229670079738,1.2574074074074075,1.2624670776648428,0.7547371179752126,0.7547371179752126,0.7080355426858015,0.23735838568190099,0.6789926376414721,0.6361540683810845,23.269311633708295,66.56470651703519
175,DE-RuR,108,1.858511866103649,1.2339875569618406,1.3636574074074075,1.2631013616324311,0.941676982896928,0.941676982896928,0.7867101341924513,-0.4948544586962413,0.5806351522276653,0.30373713093873467,-26.62638144644718,31.24193946875146
176,DE-RuS,108,1.782218211699031,1.356515626230444,1.1578703703703703,1.0468279196312487,0.7472213445163476,0.7472213445163476,0.2020628509961676,-0.6243478413286607,0.9307641568013467,0.6902982606195408,-35.03206494189368,52.22503903795412
177,DE-RuW,108,,,1.3298611111111114,1.323403015440594,,,1.0,,,,,
178,DE-Tha,108,1.1015347409773653,0.9553968936233465,1.5518518518518518,1.5037169823120755,0.7237002267223192,0.7237002267223192,0.586805066673074,0.45031711087448667,0.9621075203091362,0.8502149024152953,40.88088138508743,87.34245816482205
179,DK-Gds,16,,,0.9375,1.1457893930968874,,,1.0,,,,,
180,DK-Sor,108,,,1.1930555555555555,1.3317379961323772,,,1.0,,,,,
181,ES-Abr,108,0.9710628175254589,0.7436011176747112,1.3009259259259263,0.7991447379660086,0.23720140074099003,0.23720140074099003,-0.13142948884705952,0.32986310840046723,0.8460951432332527,0.7791452503348013,33.96928627553171,87.13083520068672
182,ES-Agu,108,,,0.7493055555555556,0.35511052533329984,,,1.0,,,,,
183,ES-Cnd,108,1.6238685918940094,0.7903500973245101,1.423148148148148,0.8174048838868938,0.34036545753893027,0.34036545753893027,0.13243612668464821,-0.2007204437458613,0.757823326016109,0.7307581658227175,-12.360633412568792,46.66777409200439
184,ES-LJu,108,0.7116628486405276,0.43486335889752237,1.2175925925925928,0.7063898878023929,0.22399824520258035,0.22399824520258035,-0.314022903850244,0.5059297439520649,0.8059831310036842,0.6274104730135609,71.09121192971226,113.2535065647075
185,ES-LM1,108,1.7405301669346525,1.1216558118493174,1.6495370370370368,1.0688996737926952,0.36260223276984843,0.36260223276984843,0.15530802431047241,-0.09099312989761554,0.977836265003886,0.9735933501561038,-5.227897316934688,56.18036869340848
186,ES-LM2,108,1.6524493632848982,1.069456355370654,1.6111111111111114,1.054038369669341,0.2958354080479888,0.2958354080479888,0.07270558949087669,-0.04133825217378681,1.0102881351924835,1.0094420562954183,-2.501635032955603,61.138825651161575
