,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,urmse,r,pbias
47,US-Me2,108,1.1479621864087406,0.9328171988120355,1.8212962962962962,1.815563604258372,0.6948109674854297,0.45373363471946315,0.6733341098875558,1.3356532020258798,1.1535123113967702,0.6948109674854297,58.65472903719933
48,US-Me6,126,0.7607270706623668,0.692538089241419,0.8119047619047619,0.7822641132361514,0.25088107064591136,0.09878853890073125,0.051177691242395296,0.7396674275565289,0.7378948077518847,0.25088107064591136,6.7274707600236665
49,US-MMS,108,1.4496007032393157,1.3503467193864966,2.1212962962962965,2.106556339698182,0.9566507120534057,0.7404167677778712,0.6716955930569809,1.0682955215792582,0.830710750920036,0.9566507120534057,46.33659403972365
50,US-Mo1,144,1.7796115623567101,1.1119595457934457,1.9319444444444445,1.7589989515566269,0.6781782205290797,0.6340068232084184,0.15233288208773457,1.0604467067910055,1.0494483841422277,0.6781782205290797,8.559895052940803
51,US-Mo2,144,1.7327760908298824,1.3284446086828319,2.120833333333333,2.033044325825001,0.9339055498788125,0.7992725612492962,0.3880572425034509,0.907688831476657,0.8205550507602016,0.9339055498788125,22.3951175548364
52,US-Mo3,144,1.5787635901882497,1.0730235963405361,1.8861111111111113,1.9025787105414982,0.7542830889989328,0.6352776902987658,0.30734752092286133,1.1450134025922027,1.1029928347447888,0.7542830889989328,19.467608882860898
53,US-MOz,72,1.425639904393692,1.368916694188737,2.290277777777778,2.1849781461647457,0.8262233968644472,0.5876430023438177,0.8646378733840857,1.3933066443668969,1.0925679627129783,0.8262233968644472,60.649107163691944
54,US-Mpj,108,0.9166151312735518,0.47603731021376067,1.237962962962963,0.8991914948495844,0.16440086525456146,0.020129283258851993,0.32134783168941117,0.885965052177724,0.8256328752834344,0.16440086525456146,35.058098074698826
55,US-Myb,144,2.7449387428855907,1.8471458512087187,2.4201388888888893,1.571849378943629,0.9204282026588718,0.8308823497955917,-0.32479985399670164,0.6441576493126323,0.556277028117913,0.9204282026588718,-11.832681324438552
56,US-NC3,108,3.418973849103278,2.1183897673122334,2.4490740740740744,1.7317537634621984,0.7812667007804861,0.3494872048511176,-0.9698997750292037,1.3902537425028336,0.9960421150440557,0.7812667007804861,-28.368154242641754
57,US-NC4,144,3.430294078549165,2.058364235251898,2.051388888888889,1.4727827289145425,0.8484518425780333,-0.2612983370795443,-1.3789051896602762,1.6482928201852345,0.9030446827273564,0.8484518425780333,-40.19787103044766
58,US-Ne1,108,1.7724959076050297,1.5387822616398403,1.6268518518518518,2.2348809364878734,0.8882272216847161,0.8194610472986754,-0.14564405575317801,0.9451916177140813,0.9339031016228222,0.8882272216847161,-8.216890946166984
59,US-NGB,72,0.31128669025224487,0.41412853170991143,0.0625,0.1569403762265812,0.2559307267645698,-6.84154294236688,-0.24878669025224484,0.4364137024987504,0.3585555779541038,0.2559307267645698,-79.92204551073017
