,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
79,US-SRS,36,1.2127390235487945,0.8665893972169306,1.3340277777777778,0.7530687878317287,0.5558605084007489,0.3650056042093126,0.1212887542289838,0.5917010853777924,10.00122465541357
80,US-Syv,144,1.3524921946632034,1.2253967956926834,1.3465277777777778,1.671131403287954,0.7817514907514203,0.7589698559534895,-0.005964416885425594,0.8175852602523033,-0.4409945513150151
81,US-Ton,144,1.050426038427879,0.8600719384963833,1.6927083333333333,1.0881147285959383,0.31550072538611473,-0.0876724852826054,0.6422822949054543,1.130864400595657,61.14493276144665
82,US-Tw1,108,2.432531287821893,1.9342937225137464,2.4444444444444446,1.625315689440879,0.8185678207104644,0.7370855368973149,0.011913156622552015,0.8295164017257579,0.4897432021612
83,US-Tw3,16,2.1397138939369205,1.2074906948705684,2.4453125000000004,1.2580480498905173,0.8808506204552317,0.8174564461250461,0.30559860606307987,0.5204345469920076,14.282218147436538
84,US-Tw4,129,2.5520807899003324,1.9937463598380114,2.451162790697675,1.6804420121220045,0.8917938341947294,0.8295499737258524,-0.1009179992026577,0.69108616141455,-3.9543418688794296
85,US-Tw5,60,3.139745274311243,2.0002895618616443,2.694166666666667,1.7205165677455725,0.8857910313455254,0.7685458781099634,-0.4455786076445764,0.8208082243662247,-14.19155277627806
86,US-UMB,144,1.1740071311705453,1.2703637212135295,1.328125,1.6200094831588103,0.9542475201385214,0.9080061059920442,0.15411786882945458,0.48964782614439606,13.127507042976065
87,US-UMd,144,1.0848860621996042,1.1608976842556957,1.324826388888889,1.6009626052330843,0.926639181246355,0.8476158843171347,0.23994032668928472,0.622784521428017,22.1166383318453
88,US-Var,144,0.850572381235859,0.8856635285414018,1.5177083333333334,0.9871635702028638,0.2259621095266925,-0.4118888492675754,0.6671359520974744,1.1688967384411606,78.43376611031546
89,US-Vcm,144,1.2202601419622758,0.8122179041489398,0.9505208333333334,1.0584015720296458,0.7598879744241214,0.6836008928754427,-0.2697393086289425,0.5932733956171604,-22.105065907928466
90,US-Vcp,144,1.3544071299740261,0.8728161689814701,1.9548611111111112,1.610274261533792,0.45653464282174905,0.29865517960392984,0.6004539811370853,1.3438550291829738,44.33334466783266
91,US-Whs,108,0.7565419341678005,0.4616115789617443,0.888425925925926,0.547150924927179,0.2070080191112775,-0.0027083978896853544,0.13188399175812554,0.5453489420204063,17.432476086497246
92,US-Wjs,144,0.8257318653317254,0.5936041271273577,0.4739583333333333,0.6029637973453225,0.5253039405731473,0.11511619022123276,-0.35177353199839206,0.5652247033954655,-42.60142387227266
93,US-Wkg,144,0.8498538176772541,0.6959788572065693,1.2152777777777777,0.9132958791428788,0.6310097087752325,0.468753768981064,0.36542396010052364,0.6633552975036157,42.998448968467116
94,US-xAB,51,1.2951165990652844,0.8368422104943547,1.9264705882352942,1.7492384897770938,0.8816272239479204,0.5366478548454423,0.6313539891700098,1.1789748152730308,48.74881455659457
95,US-xAE,107,1.4276789175630606,1.0728847241552106,1.2121495327102805,0.9664438587657361,0.8151840916923274,0.7220229797869198,-0.21552938485278036,0.5071566472101003,-15.096488587270914
96,US-xBA,108,0.19489590933914855,0.3342054843582594,0.07407407407407407,0.1683456448619754,0.26512876344626324,-2.416642460379166,-0.12082183526507448,0.30972885252469373,-61.9930072800174
97,US-xBL,88,1.4728202857194128,1.0007867087723292,2.3193181818181823,1.9037082961701357,0.8225613609549706,0.47721861053486925,0.8464978960987689,1.368606984740796,57.474622281243846
98,US-xBN,108,0.6565491123160255,0.6922408302385645,0.8981481481481481,1.3355303809377579,0.7325340155370315,0.5855592302765606,0.2415990358321226,0.8557856873307461,36.79831886145793
